Epoch,Train Loss,Train MAE,Val Loss,Val MAE
1,0.04024835707650562,179.3982933877706,0.04452082576215471,200.12134693668506
2,0.03882741957355234,178.74882990864688,0.04377985826471549,198.10735796230404
3,0.03811694771732621,173.77960622353794,0.04182469950875259,192.91553708092917
4,0.037451170100617805,169.63194424345787,0.04070034510005725,190.28007748916656
5,0.035469130209190056,168.4087518086549,0.04167459478791143,187.09607170513652
6,0.03436569014221506,163.26191497071864,0.041183826235467375,182.6533649355245
7,0.03416891675258128,161.58817393983233,0.03872109332669552,181.7494606911583
8,0.03265957943354197,156.31619194508573,0.0387621535875472,178.6021811591904
9,0.03093767660013597,153.84422774420503,0.03708577395608212,175.17880561390655
10,0.03034024553903436,152.26582675311053,0.03504453541780867,171.77573160052245
11,0.028733808394973078,149.70398382137472,0.03501656801930152,167.1963038138163
12,0.02762920408873211,146.03343724670722,0.03515872622163838,165.33626231206054
13,0.02687960182543819,142.64297240726694,0.03255038085744177,162.3302275439967
14,0.024698532291464206,139.35406871820382,0.033116367793745036,158.65232582726608
15,0.02368926522167452,135.07320214756362,0.027897496275220597,156.35011699834854
16,0.02316713209744848,132.72843165367425,0.03030466112506488,153.95333943308714
17,0.021838412026039686,129.88418881524711,0.028535322930307135,152.70255996272004
18,0.021398502976642465,128.29850153656375,0.027114785752982404,147.4596015763846
19,0.019683918996722154,124.48154932405123,0.026471071121363085,144.4598690228862
20,0.018328330907953043,119.27144260325797,0.023357258671606002,140.941425363913
21,0.018663858867219395,118.25511845215341,0.024090672939748693,135.5325704636348
22,0.016714698056653283,114.44250392648024,0.023632974640477263,134.79444386258504
23,0.015757902033378443,111.04721593072851,0.02371927335508634,131.79942569346076
24,0.013908315562065683,109.23236594401328,0.020688626333450488,131.69974229577903
25,0.013245050017047755,106.5482409018063,0.019363920190210257,125.27679017333395
26,0.01246925439830321,103.34507322256447,0.01863617399089822,122.79072728136529
27,0.010734848038875056,98.47112730436356,0.01901885039356414,119.26695511545465
28,0.010394745560896975,95.89768417587293,0.01739771662690106,114.74604900469973
29,0.008803128930902666,93.43471170726563,0.015504722554853648,114.53197679400584
30,0.007854153125103363,90.97554512712236,0.015513267433113355,110.93991629085846
